"id","asset_id/id","name","sequence","move_check","depreciation_date","amount","remaining_value","depreciated_value"
"__setup__.account_asset_depreciation_line_99653","__setup__.account_asset_asset_653","653/46","46","true","2017-10-01","94.65","189.37","4258.99"
"__setup__.account_asset_depreciation_line_37646","__setup__.account_asset_asset_653","653/34","34","true","2016-10-01","94.65","1325.17","3123.190000000002"
"__setup__.account_asset_depreciation_line_99648","__setup__.account_asset_asset_653","653/41","41","true","2017-05-01","94.65","662.62","3785.74"
"__setup__.account_asset_depreciation_line_37635","__setup__.account_asset_asset_653","653/23","23","true","2015-11-01","94.65","2366.32","2082.040000000001"
"__setup__.account_asset_depreciation_line_37636","__setup__.account_asset_asset_653","653/24","24","true","2015-12-01","94.65","2271.67","2176.690000000001"
"__setup__.account_asset_depreciation_line_37637","__setup__.account_asset_asset_653","653/25","25","true","2016-01-01","94.65","2177.02","2271.340000000001"
"__setup__.account_asset_depreciation_line_37638","__setup__.account_asset_asset_653","653/26","26","true","2016-02-01","94.65","2082.37","2365.990000000001"
"__setup__.account_asset_depreciation_line_37639","__setup__.account_asset_asset_653","653/27","27","true","2016-03-01","94.65","1987.72","2460.6400000000012"
"__setup__.account_asset_depreciation_line_37645","__setup__.account_asset_asset_653","653/33","33","true","2016-09-01","94.65","1419.82","3028.540000000002"
"__setup__.account_asset_depreciation_line_37649","__setup__.account_asset_asset_653","653/37","37","true","2017-01-01","94.65","1041.22","3407.140000000002"
"__setup__.account_asset_depreciation_line_37647","__setup__.account_asset_asset_653","653/35","35","true","2016-11-01","94.65","1230.52","3217.840000000002"
"__setup__.account_asset_depreciation_line_99623","__setup__.account_asset_asset_653","653/1","1","false","2014-01-01","94.39","4448.62","0.0"
"__setup__.account_asset_depreciation_line_99626","__setup__.account_asset_asset_653","653/4","4","false","2014-04-01","94.65","4164.67","283.69"
"__setup__.account_asset_depreciation_line_99629","__setup__.account_asset_asset_653","653/7","7","false","2014-07-01","94.65","3880.72","567.639999999999"
"__setup__.account_asset_depreciation_line_99632","__setup__.account_asset_asset_653","653/10","10","false","2014-10-01","94.65","3596.77","851.59"
"__setup__.account_asset_depreciation_line_99635","__setup__.account_asset_asset_653","653/13","13","false","2015-01-01","94.65","3312.82","1135.54"
"__setup__.account_asset_depreciation_line_99624","__setup__.account_asset_asset_653","653/2","2","false","2014-02-01","94.65","4353.97","94.3900000000003"
"__setup__.account_asset_depreciation_line_99627","__setup__.account_asset_asset_653","653/5","5","false","2014-05-01","94.65","4070.02","378.339999999999"
"__setup__.account_asset_depreciation_line_99630","__setup__.account_asset_asset_653","653/8","8","false","2014-08-01","94.65","3786.07","662.29"
"__setup__.account_asset_depreciation_line_37640","__setup__.account_asset_asset_653","653/28","28","true","2016-04-01","94.65","1893.07","2555.2900000000013"
"__setup__.account_asset_depreciation_line_37641","__setup__.account_asset_asset_653","653/29","29","true","2016-05-01","94.65","1798.42","2649.9400000000014"
"__setup__.account_asset_depreciation_line_99633","__setup__.account_asset_asset_653","653/11","11","false","2014-11-01","94.65","3502.12","946.24"
"__setup__.account_asset_depreciation_line_99636","__setup__.account_asset_asset_653","653/14","14","false","2015-02-01","94.65","3218.17","1230.19"
"__setup__.account_asset_depreciation_line_99639","__setup__.account_asset_asset_653","653/17","17","false","2015-05-01","94.65","2934.22","1514.14"
"__setup__.account_asset_depreciation_line_99642","__setup__.account_asset_asset_653","653/20","20","false","2015-08-01","94.65","2650.27","1798.09"
"__setup__.account_asset_depreciation_line_99645","__setup__.account_asset_asset_653","653/38","38","true","2017-02-01","94.65","946.57","3501.79"
"__setup__.account_asset_depreciation_line_99625","__setup__.account_asset_asset_653","653/3","3","false","2014-03-01","94.65","4259.32","189.04"
"__setup__.account_asset_depreciation_line_99628","__setup__.account_asset_asset_653","653/6","6","false","2014-06-01","94.65","3975.37","472.989999999999"
"__setup__.account_asset_depreciation_line_99631","__setup__.account_asset_asset_653","653/9","9","false","2014-09-01","94.65","3691.42","756.94"
"__setup__.account_asset_depreciation_line_99634","__setup__.account_asset_asset_653","653/12","12","false","2014-12-01","94.65","3407.47","1040.89"
"__setup__.account_asset_depreciation_line_99637","__setup__.account_asset_asset_653","653/15","15","false","2015-03-01","94.65","3123.52","1324.84"
"__setup__.account_asset_depreciation_line_99640","__setup__.account_asset_asset_653","653/18","18","false","2015-06-01","94.65","2839.57","1608.79"
"__setup__.account_asset_depreciation_line_99643","__setup__.account_asset_asset_653","653/21","21","false","2015-09-01","94.65","2555.62","1892.74"
"__setup__.account_asset_depreciation_line_99646","__setup__.account_asset_asset_653","653/39","39","true","2017-03-01","94.65","851.92","3596.44"
"__setup__.account_asset_depreciation_line_99655","__setup__.account_asset_asset_653","653/48","48","false","2017-12-01","94.65","0.07","4448.29"
"__setup__.account_asset_depreciation_line_99638","__setup__.account_asset_asset_653","653/16","16","false","2015-04-01","94.65","3028.87","1419.49"
"__setup__.account_asset_depreciation_line_99641","__setup__.account_asset_asset_653","653/19","19","false","2015-07-01","94.65","2744.92","1703.44"
"__setup__.account_asset_depreciation_line_99644","__setup__.account_asset_asset_653","653/22","22","false","2015-10-01","94.65","2460.97","1987.39"
"__setup__.account_asset_depreciation_line_99656","__setup__.account_asset_asset_653","653/49","49","false","2018-01-01","0.07","0.0","4542.94"
"__setup__.account_asset_depreciation_line_99649","__setup__.account_asset_asset_653","653/42","42","true","2017-06-01","94.65","567.97","3880.39"
"__setup__.account_asset_depreciation_line_37642","__setup__.account_asset_asset_653","653/30","30","true","2016-06-01","94.65","1703.77","2744.5900000000015"
"__setup__.account_asset_depreciation_line_99651","__setup__.account_asset_asset_653","653/44","44","true","2017-08-01","94.65","378.67","4069.69"
"__setup__.account_asset_depreciation_line_37643","__setup__.account_asset_asset_653","653/31","31","true","2016-07-01","94.65","1609.12","2839.2400000000016"
"__setup__.account_asset_depreciation_line_37644","__setup__.account_asset_asset_653","653/32","32","true","2016-08-01","94.65","1514.47","2933.8900000000017"
"__setup__.account_asset_depreciation_line_37648","__setup__.account_asset_asset_653","653/36","36","true","2016-12-01","94.65","1135.87","3312.490000000002"
"__setup__.account_asset_depreciation_line_99647","__setup__.account_asset_asset_653","653/40","40","true","2017-04-01","94.65","757.27","3691.09"
"__setup__.account_asset_depreciation_line_99650","__setup__.account_asset_asset_653","653/43","43","true","2017-07-01","94.65","473.32","3975.04"
"__setup__.account_asset_depreciation_line_99652","__setup__.account_asset_asset_653","653/45","45","true","2017-09-01","94.65","284.02","4164.34"
"__setup__.account_asset_depreciation_line_99654","__setup__.account_asset_asset_653","653/47","47","true","2017-11-01","94.65","94.72","4353.64"
