"id","company_id/id","name","origin","partner_id/id","date_order","incoterm_id/id","date_planned","partner_ref","state","payment_term_id/id","fiscal_position_id/id","second_vendor_id/id","notes","currency_id/id"
"__setup__.purchase_order_2982","base.main_company","PO201701113084","","__setup__.res_partner_136","2017-01-11","","2017-01-11","Price quotation no. 2-887727 mail du 11.01.17","purchase","","","","","base.CHF"
"__setup__.purchase_order_3100","base.main_company","PO201702283264","","__setup__.res_partner_136","2017-02-28","","2017-03-03","","purchase","","","","","base.CHF"
"__setup__.purchase_order_3212","base.main_company","PO201704103430","","__setup__.res_partner_65","2017-04-10","","2017-04-10","NÂ° de commande 5319-8283/01","purchase","","","","","base.CHF"
"__setup__.purchase_order_3227","base.main_company","PO201704133451","","__setup__.res_partner_65","2017-04-13","","2017-04-13","","done","","","","","base.CHF"
"__setup__.purchase_order_3297","base.main_company","PO201705043551","","__setup__.res_partner_68","2017-05-04","","2017-05-26","","done","","","","","base.CHF"
"__setup__.purchase_order_3322","base.main_company","PO201705093593","","__setup__.res_partner_135","2017-05-09","","2017-05-09","","done","","l10n_ch.1_fiscal_position_template_import","","","base.USD"
"__setup__.purchase_order_3343","base.main_company","PO201705183628","","__setup__.res_partner_136","2017-05-18","","2017-05-18","","purchase","","","","","base.CHF"
"__setup__.purchase_order_3344","base.main_company","PO201705183630","","__setup__.res_partner_65","2017-05-18","","2017-05-18","","done","","","","","base.CHF"
"__setup__.purchase_order_3345","base.main_company","PO201705183632","","__setup__.res_partner_68","2017-05-18","","2017-05-18","","purchase","","","","","base.CHF"
"__setup__.purchase_order_3355","base.main_company","PO201705223648","","__setup__.res_partner_65","2017-05-16","","2017-05-16","","done","","","","","base.CHF"
"__setup__.purchase_order_3366","base.main_company","PO201705293664","","__setup__.res_partner_136","2017-05-29","","2017-05-29","","purchase","","","","","base.CHF"
"__setup__.purchase_order_3370","base.main_company","PO201705303672","","__setup__.res_partner_136","2017-05-18","","2017-05-18","","done","","","","","base.CHF"
"__setup__.purchase_order_3373","base.main_company","PO201705303677","","__setup__.res_partner_65","2017-05-30","","2017-05-30","","done","","","","","base.CHF"
"__setup__.purchase_order_3418","base.main_company","PO201706153744","","__setup__.res_partner_136","2017-06-15","","2017-06-15","","purchase","","","","","base.CHF"
"__setup__.purchase_order_3427","base.main_company","PO201706203759","","__setup__.res_partner_136","2017-05-18","","2017-05-18","","done","","","","","base.CHF"
"__setup__.purchase_order_3484","base.main_company","PO201707113841","","__setup__.res_partner_136","2017-07-11","","2017-07-11","","done","","","","","base.CHF"
"__setup__.purchase_order_3534","base.main_company","PO201708043910","","__setup__.res_partner_136","2017-08-04","","2017-08-04","","purchase","","","","","base.CHF"
"__setup__.purchase_order_3545","base.main_company","PO201708093930","","__setup__.res_partner_136","2017-08-09","","2017-08-09","","purchase","","","","","base.CHF"
"__setup__.purchase_order_3556","base.main_company","PO201708113945","","__setup__.res_partner_136","2017-08-09","","2017-08-09","","purchase","","","","","base.CHF"
"__setup__.purchase_order_3584","base.main_company","PO201708233987","","__setup__.res_partner_136","2017-08-23","","2017-08-23","commande nÂ° 3-144520","purchase","","","","","base.CHF"
"__setup__.purchase_order_3589","base.main_company","PO201708253996","","__setup__.res_partner_68","2017-08-25","","2017-08-25","","purchase","","","","","base.CHF"
"__setup__.purchase_order_3621","base.main_company","PO201709114047","","__setup__.res_partner_136","2017-09-11","","2017-09-11","","purchase","","","","","base.CHF"
"__setup__.purchase_order_3704","base.main_company","PO201710174171","","__setup__.res_partner_68","2017-10-17","","2017-10-31","","purchase","","","","","base.CHF"
