"id","active","company_id/id","name","code","type","default_debit_account_id/id","default_credit_account_id/id","currency_id/id","sequence_id/id","update_posted","refund_sequence","refund_sequence_id/id"
"__setup__.account_journal_2","true","base.main_company","Journal de poste CHF","JPost","bank","__setup__.account_account_14","__setup__.account_account_14","","__setup__.ir_sequence_6","true","false",""
"__setup__.account_journal_3","false","base.main_company","Banque EUR","BEUR","general","","","base.EUR","__setup__.ir_sequence_6","true","false",""
"__setup__.account_journal_4","true","base.main_company","Caisse","CAI","cash","__setup__.account_account_7","__setup__.account_account_7","","__setup__.ir_sequence_6","true","false",""
"__setup__.account_journal_5","true","base.main_company","Opérations Diverses","OD","general","","","","__setup__.ir_sequence_6","true","false",""
"__setup__.account_journal_7","true","base.main_company","Journal de vente","JVent","sale","","","","__setup__.ir_sequence_7","true","true","__setup__.ir_sequence_26"
"__setup__.account_journal_8","true","base.main_company","Journal d'achat","J_ach","purchase","","","","__setup__.ir_sequence_9","true","true","__setup__.ir_sequence_27"
"scenario.account_journal_STJ","true","base.main_company","Stock Journal","STJ","general","","","","__setup__.ir_sequence_6","false","false",""
"__setup__.account_journal_14","true","base.main_company","Journal de frais","J_fra","purchase","","","","__setup__.ir_sequence_6","true","false",""
"__setup__.account_journal_15","true","base.main_company","Journal de rapprochement","JRapp","general","","","","__setup__.ir_sequence_43","true","false",""
"__setup__.account_journal_26","true","base.main_company","Journal d'achat manuel","J_acM","purchase","","","","__setup__.ir_sequence_9","true","false",""
"__setup__.account_journal_29","true","base.main_company","Journal Paypal CHF","PayCH","bank","__setup__.account_account_1447","__setup__.account_account_1447","","__setup__.ir_sequence_45","true","false",""
"__setup__.account_journal_33","true","base.main_company","Journal Paypal USD","PayUS","bank","__setup__.account_account_1448","__setup__.account_account_1448","base.USD","__setup__.ir_sequence_46","true","false",""
"__setup__.account_journal_35","true","base.main_company","Journal Visa","JVisa","bank","__setup__.account_account_1629","__setup__.account_account_1629","","__setup__.ir_sequence_47","true","false",""
"__setup__.account_journal_36","true","base.main_company","Journal d'écriture","Ecrit","general","","","base.CHF","__setup__.ir_sequence_48","true","false",""
"__setup__.account_journal_37","true","base.main_company","Journal des salaires","Sal","general","__setup__.account_account_846","__setup__.account_account_846","","__setup__.ir_sequence_53","true","false",""
"__setup__.account_journal_41","true","base.main_company","Journal Paypal EUR","PayEU","bank","__setup__.account_account_1449","__setup__.account_account_1449","base.EUR","__setup__.ir_sequence_55","true","false",""
"__setup__.account_journal_76","true","base.main_company","Journal Paypal GBP","PayGB","bank","__setup__.account_account_1659","__setup__.account_account_1659","base.GBP","__setup__.ir_sequence_99","true","false",""
"__setup__.account_journal_81","true","base.main_company","Creance Client CHF","CRCL","bank","__setup__.account_account_1632","__setup__.account_account_1632","","__setup__.ir_sequence_106","true","false",""
"__setup__.account_journal_85","true","base.main_company","Journal Crédit Suisse CHF","JCS","bank","__setup__.account_account_17","__setup__.account_account_17","","__setup__.ir_sequence_134","true","false",""
"__setup__.account_journal_86","true","base.main_company","Journal Crédit Suisse EUR","JCSEU","bank","__setup__.account_account_1790","__setup__.account_account_1790","base.EUR","__setup__.ir_sequence_136","true","false",""
"__setup__.account_journal_88","true","base.main_company","Journal Crédit Suisse USD","JCSUS","bank","__setup__.account_account_1791","__setup__.account_account_1791","base.USD","__setup__.ir_sequence_135","true","false",""
"__setup__.account_journal_89","true","base.main_company","Journal Customers Refunds","JCR","bank","l10n_ch.1_ch_coa_1100","l10n_ch.1_ch_coa_1100","","__setup__.ir_sequence_143","true","false",""
"__setup__.account_journal_91","true","__setup__.company_inc","Caisse","CAI","cash","__setup__.account_account_1824","__setup__.account_account_1824","","__setup__.ir_sequence_164","true","false",""
"__setup__.account_journal_93","true","__setup__.company_inc","Journal d'achat manuel","J_acM","purchase","","","","__setup__.ir_sequence_237","true","false",""
"__setup__.account_journal_95","true","__setup__.company_inc","Journal de frais","J_fra","purchase","","","","__setup__.ir_sequence_164","true","false",""
"__setup__.account_journal_98","true","__setup__.company_inc","Journal de vente","JVent","sale","","","","__setup__.ir_sequence_245","true","true","__setup__.ir_sequence_250"
"__setup__.account_journal_99","true","__setup__.company_inc","Stock Journal","STJ","general","","","","__setup__.ir_sequence_164","false","false",""
"__setup__.account_journal_113","true","__setup__.company_inc","Journal d'achat","J_ach","purchase","","","","__setup__.ir_sequence_237","true","true","__setup__.ir_sequence_240"
"__setup__.account_journal_117","true","__setup__.company_inc","Customer credits","CRCL","bank","__setup__.account_account_1870","__setup__.account_account_1870","","__setup__.ir_sequence_186","true","false",""
"__setup__.account_journal_122","true","__setup__.company_inc","Journal Customers Refunds","JCR","bank","__setup__.account_account_1869","__setup__.account_account_1869","","__setup__.ir_sequence_197","true","false",""
"__setup__.account_journal_123","true","__setup__.company_inc","Opérations Diverses","OD","general","","","","__setup__.ir_sequence_164","true","false",""
"__setup__.account_journal_131","true","base.main_company","c/c senseFly Inc","SFInc","bank","__setup__.account_account_2307","__setup__.account_account_2307","base.USD","__setup__.ir_sequence_263","true","false",""
"__setup__.account_journal_136","true","__setup__.company_inc","Journal JP Morgan Chase","JP","bank","__setup__.account_account_1828","__setup__.account_account_1828","","__setup__.ir_sequence_264","true","false",""
"__setup__.account_journal_139","true","__setup__.company_inc","senseFly SA","SFSA","cash","__setup__.account_account_2271","__setup__.account_account_2271","","__setup__.ir_sequence_265","true","false",""
"__setup__.account_journal_145","true","__setup__.company_inc","Journal Paypal USD","PayUS","bank","__setup__.account_account_2405","__setup__.account_account_2405","","__setup__.ir_sequence_276","true","false",""
"__setup__.account_journal_146","true","base.main_company","Journal Paypal HKD","HKD","bank","__setup__.account_account_2435","__setup__.account_account_2435","base.HKD","__setup__.ir_sequence_278","true","false",""
